iata          lon      lat
PVE_0403   -44.50    -7.50
PVE_0786   -67.50     2.50
PVE_0685   -72.50    -0.50
PVE_0918   -67.50     7.50
PVE_0166   -64.50   -12.50
PVE_0600   -78.50    -2.50
PVE_0151   -39.50   -13.50
PVE_0634   -44.50    -2.50
PVE_0067   -45.50   -15.50
PVE_0513   -77.50    -4.50
PVE_0928   -81.50     8.50
PVE_0638   -40.50    -2.50
PVE_0789   -64.50     2.50
PVE_0653   -67.50    -1.50
PVE_0345   -56.50    -8.50
PVE_0159   -71.50   -12.50
PVE_0418   -77.50    -6.50
PVE_0782   -71.50     2.50
PVE_0347   -54.50    -8.50
PVE_0835   -73.50     4.50
PVE_0914   -71.50     7.50
PVE_0621   -57.50    -2.50
PVE_0591   -44.50    -3.50
PVE_0045   -67.50   -15.50
PVE_0589   -46.50    -3.50
PVE_0726   -66.50     0.50
PVE_0667   -53.50    -1.50
PVE_0057   -55.50   -15.50
PVE_0244   -69.50   -10.50
PVE_0037   -75.50   -15.50
PVE_0439   -56.50    -6.50
PVE_0027   -47.50   -16.50
PVE_0062   -50.50   -15.50
PVE_0215   -56.50   -11.50
PVE_0878   -57.50     5.50
PVE_0189   -41.50   -12.50
PVE_0733   -59.50     0.50
PVE_0060   -52.50   -15.50
PVE_0233   -38.50   -11.50
PVE_0825   -56.50     3.50
PVE_0496   -47.50    -5.50
PVE_0209   -62.50   -11.50
PVE_0813   -68.50     3.50
PVE_0516   -74.50    -4.50
PVE_0334   -67.50    -8.50
PVE_0949   -60.50     8.50
PVE_0877   -58.50     5.50
PVE_0670   -50.50    -1.50
PVE_0340   -61.50    -8.50
PVE_0729   -63.50     0.50
PVE_0352   -49.50    -8.50
PVE_0754   -69.50     1.50
PVE_0862   -73.50     5.50
PVE_0748   -75.50     1.50
PVE_0760   -63.50     1.50
PVE_0601   -77.50    -2.50
PVE_0999   -60.50    11.50
PVE_0520   -70.50    -4.50
PVE_0898   -63.50     6.50
PVE_0739   -53.50     0.50
PVE_0139   -51.50   -13.50
PVE_0730   -62.50     0.50
PVE_0937   -72.50     8.50
PVE_0059   -53.50   -15.50
PVE_0402   -45.50    -7.50
PVE_0220   -51.50   -11.50
PVE_0771   -52.50     1.50
PVE_0085   -66.50   -14.50
PVE_0872   -63.50     5.50
PVE_0911   -74.50     7.50
PVE_0913   -72.50     7.50
