------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
          PFT     Tropical        Grass          Rho         b1Ht         b2Ht      Hgt_ref         b1Bl         b2Bl   b1Bs_Small   b2Bs_Small   b1Bs_Large   b1Bs_Large         b1Ca         b2Ca      Hgt_min      Hgt_max      Min_DBH     DBH_Crit  DBH_BigLeaf   Bdead_Crit    Init_dens  Init_LAImax          SLA
------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
            1            T            T  2.00000E-01  8.51956E-01  6.40000E-01  0.00000E+00  3.46058E-02  1.59426E+00  5.01836E-02  2.35980E+00  3.88728E-02  1.97013E+00  7.83091E-01  1.20832E+00  5.00000E-01  1.50000E+00  8.94367E-02  4.97757E-01  4.97757E-01  4.83677E-03  1.00000E+00  1.00000E+19  2.27000E+01
            2            T            F  5.30000E-01  8.51956E-01  6.40000E-01  0.00000E+00  5.91472E-02  1.57056E+00  1.24338E-01  2.34710E+00  5.83674E-01  1.97932E+00  7.83091E-01  1.20832E+00  5.00000E-01  3.50000E+01  8.94367E-02  6.83095E+01  6.83095E+01  1.25685E+03  1.00000E+00  1.00000E+19  1.60179E+01
            3            T            F  7.10000E-01  8.51956E-01  6.40000E-01  0.00000E+00  6.94664E-02  1.56345E+00  1.63239E-01  2.34329E+00  7.66286E-01  1.97551E+00  7.83091E-01  1.20832E+00  5.00000E-01  3.50000E+01  8.94367E-02  6.83095E+01  6.83095E+01  1.62373E+03  1.00000E+00  1.00000E+19  1.16448E+01
            4            T            F  9.00000E-01  8.51956E-01  6.40000E-01  0.00000E+00  7.91436E-02  1.55768E+00  2.03565E-01  2.34020E+00  9.55585E-01  1.97242E+00  7.83091E-01  1.20832E+00  5.00000E-01  3.50000E+01  8.94367E-02  6.83095E+01  6.83095E+01  1.99859E+03  1.00000E+00  1.00000E+19  9.66342E+00
            5            F            T  2.00000E-01  4.77800E-01 -7.50000E-01  0.00000E+00  8.00000E-02  1.00000E+00  1.00000E-05  1.00000E+00  1.00000E-05  1.00000E+00  2.49015E+00  8.06881E-01  1.50000E-01  4.53910E-01  5.02385E-01  3.99431E+00  3.99431E+00  1.99715E-05  1.00000E-01  1.00000E+19  2.20000E+01
            6            F            F  0.00000E+00  2.71400E+01 -3.88400E-02  1.30000E+00  2.40000E-02  1.89900E+00  1.47000E-01  2.23800E+00  1.47000E-01  2.23800E+00  2.49015E+00  8.06881E-01  1.50000E+00  2.71129E+01  1.90435E-01  7.77030E+01  7.77030E+01  1.25051E+03  1.00000E-01  1.00000E+19  6.00000E+00
            7            F            F  0.00000E+00  2.71400E+01 -3.88400E-02  1.30000E+00  2.40000E-02  1.89900E+00  1.47000E-01  2.23800E+00  1.47000E-01  2.23800E+00  2.49015E+00  8.06881E-01  1.50000E+00  2.71129E+01  1.90435E-01  7.77030E+01  7.77030E+01  1.25051E+03  1.00000E-01  1.00000E+19  9.00000E+00
            8            F            F  0.00000E+00  2.27900E+01 -4.44500E-02  1.30000E+00  4.54000E-02  1.68290E+00  1.61700E-01  2.15360E+00  1.61700E-01  2.15360E+00  2.49015E+00  8.06881E-01  1.50000E+00  2.27672E+01  1.98302E-01  6.40401E+01  6.40401E+01  6.28137E+02  1.00000E-01  1.00000E+19  1.00000E+01
            9            F            F  0.00000E+00  2.26799E+01 -6.53400E-02  1.30000E+00  1.29000E-02  1.74770E+00  2.64800E-02  2.95954E+00  2.64800E-02  2.95954E+00  2.49015E+00  8.06881E-01  1.50000E+00  2.26572E+01  1.35560E-01  4.34928E+01  4.34928E+01  9.35082E+02  1.00000E-01  1.00000E+19  3.00000E+01
           10            F            F  0.00000E+00  2.51800E+01 -4.96400E-02  1.30000E+00  4.80000E-02  1.45500E+00  1.61700E-01  2.45720E+00  1.61700E-01  2.45720E+00  2.49015E+00  8.06881E-01  1.50000E+00  2.51548E+01  1.60647E-01  5.93171E+01  5.93171E+01  1.83966E+03  1.00000E-01  1.00000E+19  2.42000E+01
