short,iata,longname,lon,lat,alt,wmo,isoilflg,istext,sand,clay,slsoc,slph,slcec,sldbd,depth,isoilbc,sldrain,scolour,met.driver,yeara,yearz,iphen,iage
AMZBR_0001,a0001,Amazon Polygon 0001,-61.5,-13.5,NA,NA,2,6,0.521,0.251,0.0158,5,0.084,1250,K,1,90,16,ERA5_CHIRPS,1981,2019,5,30
AMZBR_0002,a0002,Amazon Polygon 0002,-60.5,-13.5,NA,NA,2,3,0.614,0.173,0.0179,5.2,0.099,1240,K,1,90,16,ERA5_CHIRPS,1981,2019,5,30
AMZBR_0003,a0003,Amazon Polygon 0003,-63.5,-12.5,NA,NA,2,6,0.495,0.262,0.016,5,0.086,1250,K,1,90,16,ERA5_CHIRPS,1981,2019,5,30
AMZBR_0004,a0004,Amazon Polygon 0004,-62.5,-12.5,NA,NA,2,6,0.532827158181877,0.223343203931085,0.0151842159320799,4.81890525820088,0.0924997073894,1223.15593565532,K,1,90,16,ERA5_CHIRPS,1981,2019,5,30
AMZBR_0005,a0005,Amazon Polygon 0005,-61.5,-12.5,NA,NA,2,6,0.450731520182141,0.306403635818869,0.0183703078468289,4.88934097681909,0.0847669342966816,1220.75569914233,K,1,90,16,ERA5_CHIRPS,1981,2019,5,30
AMZBR_0006,a0006,Amazon Polygon 0006,-60.5,-12.5,NA,NA,2,6,0.558696336870935,0.25565491270113,0.0175133858267717,5.01828141047586,0.0786268401232455,1228.952413557,K,1,90,16,ERA5_CHIRPS,1981,2019,5,30
AMZBR_0007,a0007,Amazon Polygon 0007,-57.5,-12.5,NA,NA,2,3,0.709133718829057,0.193535598120708,0.0181794000722805,4.42490061438381,0.117891217925551,1208.67003975425,K,1,90,16,ERA5_CHIRPS,1981,2019,5,30
AMZBR_0008,a0008,Amazon Polygon 0008,-56.5,-12.5,NA,NA,2,3,0.606,0.148,0.0193,4.8,0.119,1220,K,1,90,15,ERA5_CHIRPS,1981,2019,5,30
AMZBR_0009,a0009,Amazon Polygon 0009,-55.5,-12.5,NA,NA,2,3,0.589,0.157,0.0202,4.9,0.103,1240,K,1,90,15,ERA5_CHIRPS,1981,2019,5,120
AMZBR_0010,a0010,Amazon Polygon 0010,-54.5,-12.5,NA,NA,2,6,0.588931216931217,0.262272927689594,0.0225351851851852,4.77416225749559,0.0949766313932981,1217.7557319224,K,1,90,16,ERA5_CHIRPS,1981,2019,5,120
