short,iata,longname,lon,lat,alt,wmo,isoilflg,istext,sand,clay,slsoc,slph,slcec,sldbd,depth,isoilbc,sldrain,scolour,met.driver,yeara,yearz,iphen
allpahuayo,alp,Allpahuayo PER,-73.437,-3.953,143,NA,2,1,0.937,0.026,0.0491,4.5,0.102,1180,D,1,90,14,MERRA2_MSWEP2,1974,2017,-1
alta_floresta,afl,Alta Floresta MT,-56.1,-9.867,269,82965,1,1,-1,-1,0.0266,4.7,0.124,1192,F,1,90,14,MERRA2_MSWEP2,1974,2017,2
andiroba,and,Fazenda Andiroba PA,-47.517,-3.315,122,NA,1,1,-1,-1,0.0266,4.7,0.124,1192,H,1,90,14,MERRA2_MSWEP2,1974,2017,2
atto,att,ATTO Tower AM,-59.000,-2.144,130,NA,2,8,0.358,0.396,0.0165,4.1,0.077,1180,H,1,90,14,MERRA2_MSWEP2,1974,2017,-1
bananal,ban,Bananal Island TO,-50.159,-9.824,173,NA,2,8,0.24,0.37,0.0225,4.9,0.087,1200,C,1,90,14,Bananal,1999,2007,2
barro_colorado,bci,Barro Colorado PAN,-79.85,9.16,145,NA,2,17,0.2,0.42,0.0266,4.7,0.124,1192,D,1,90,14,MERRA2_MSWEP2,1974,2017,-1
belem,bel,Belem PA,-48.48,-1.38,15,82193,1,1,-1,-1,0.0266,4.7,0.124,1192,F,1,90,14,MERRA2_MSWEP2,1974,2017,-1
belterra,bte,Belterra PA,-54.944,-2.646,171,NA,1,1,-1,-1,0.0266,4.7,0.124,1192,F,1,90,14,MERRA2_MSWEP2,1974,2017,-1
boa_vista,bvb,Boa Vista RR,-60.61,2.92,82,82022,1,1,-1,-1,0.0266,4.7,0.124,1192,F,1,90,14,MERRA2_MSWEP2,1974,2017,2
bogota,bog,Bogota COL,-74.1,4.65,2556,80222,1,1,-1,-1,0.0266,4.7,0.124,1192,F,1,90,14,MERRA2_MSWEP2,1974,2017,2
bom_jesus,laz,Bom Jesus da Lapa BA,-43.417,-13.267,440,83288,1,1,-1,-1,0.0266,4.7,0.124,1192,F,1,90,14,MERRA2_MSWEP2,1974,2017,2
bonal,bon,Fazenda Bonal AC,-67.286,-9.874,165,NA,1,1,-1,-1,0.0266,4.7,0.124,1192,H,1,90,14,MERRA2_MSWEP2,1974,2017,2
brasilia,bsb,Brasilia DF,-47.713,-15.601,1023,83378,2,17,-1,-1,0.0196,4.9,0.082,1270,H,1,90,14,Brasilia,2006,2012,2
cacoal_grande,ecc,Cacoal Grande (Embrapa) PA,-54.329,-2.389,11,NA,1,1,-1,-1,0.0266,4.7,0.124,1192,F,1,90,14,MERRA2_MSWEP2,1974,2017,-1
calabozo,clz,Calabozo VEN,-67.42,8.92,109,NA,1,1,-1,-1,0.0266,4.7,0.124,1192,F,1,90,14,MERRA2_MSWEP2,1974,2017,2
cardoso,czi,Cardoso Island SP,-48.01,-25.096,NA,NA,2,1,0.95,0.01,0.0266,4.7,0.124,1192,C,1,90,14,MERRA2_MSWEP2,1974,2017,-1
cauaxi,cau,Fazenda Cauaxi PA,-47.517,-3.315,122,NA,1,1,-1,-1,0.0266,4.7,0.124,1192,H,1,90,14,MERRA2_MSWEP2,1974,2017,2
cauaxi_ril,ca6,Faz. Cauaxi (Logged) PA,-48.483,-3.748,140,NA,1,1,-1,-1,0.0266,4.7,0.124,1192,H,1,90,14,MERRA2_MSWEP2,1974,2017,2
cauaxi_und,ca3,Faz. Cauaxi (Undist.) PA,-48.483,-3.748,140,NA,1,1,-1,-1,0.0266,4.7,0.124,1192,H,1,90,14,MERRA2_MSWEP2,1974,2017,2
caxiuana,cax,Caxiuana PA,-51.458,-1.72,NA,NA,2,16,0.38,0.44,0.0137,4.5,0.096,1190,D,2,6,14,Caxiuana,1994,2004,-1
curua_una,scr,Curua-Una (Sudam) PA,-54.091,-2.544,19,NA,1,1,-1,-1,0.0266,4.7,0.124,1192,F,1,90,14,MERRA2_MSWEP2,1974,2017,-1
cuiarana,crn,Cuiarana PA,-47.280,-0.670,9,NA,2,8,0.272,0.446,0.0323,4.8,0.178,850,D,1,90,14,MERRA2_MSWEP2,1974,2017,-1
douglas_tnf,dcm,Tapajos Natl Forest PA,-54.959,-2.857,198,NA,2,16,0.39,0.59,0.0266,4.7,0.124,1192,H,1,90,14,Santarem_Km67,1996,2012,-1
ducke,duc,Ducke  AM,-59.94,-2.951,117,NA,2,8,0.433,0.366,0.0266,4.7,0.124,1192,F,1,90,14,MERRA2_MSWEP2,1974,2017,-1
east_belterra,ebt,Belterra (East) PA,-54.888,-3.156,147,NA,1,1,-1,-1,0.0266,4.7,0.124,1192,F,1,90,14,MERRA2_MSWEP2,1974,2017,-1
east_feliz_natal,fn2,Feliz Natal (East) MT,-54.197,-11.862,336,NA,1,1,-1,-1,0.0266,4.7,0.124,1192,F,1,90,14,MERRA2_MSWEP2,1974,2017,-1
east_sao_felix,sx2,Sao Felix (East) PA,-51.793,-6.601,224,NA,1,1,-1,-1,0.0266,4.7,0.124,1192,F,1,90,14,MERRA2_MSWEP2,1974,2017,-1
el_triunfo,etf,El Triunfo BOL,-67,-13.5,NA,NA,1,1,-1,-1,0.0266,4.7,0.124,1192,F,1,90,14,MERRA2_MSWEP2,1974,2017,2
el_zafire,zar,El Zafire COL,-69.902,-4.007,NA,NA,2,2,0.748,0.006,0.0266,4.7,0.124,1192,B,1,90,14,MERRA2_MSWEP2,1974,2017,-1
fazendans,fns,Fazenda Nsa. Sra. RO,-62.357,-10.762,NA,NA,2,2,0.8,0.1,0.0158,4.7,0.101,1270,G,1,90,14,Fazenda_Nossa_Senhora,1994,2003,2
feliz_natal,fzn,Feliz Natal MT,-54.692,-12.146,350,NA,2,6,0.641,0.247,0.0266,4.7,0.124,1192,I,1,90,14,MERRA2_MSWEP2,1974,2017,2
guarana,gun,Guarana PA,-54.325,-2.677,138,NA,1,1,-1,-1,0.0266,4.7,0.124,1192,F,1,90,14,MERRA2_MSWEP2,1974,2017,-1
harvard,hvd,Harvard Forest MA,-72.17,42.54,NA,NA,2,2,-1,-1,0.0266,4.7,0.124,1192,E,1,90,14,Harvard,1987,2003,1
humaita,hum,Fazenda Humaita AC,-67.645,-9.756,172,NA,1,1,-1,-1,0.0266,4.7,0.124,1192,F,1,90,14,MERRA2_MSWEP2,1974,2017,2
iquique,iqq,Iquique CHL,-69.97,-20.24,NA,NA,1,1,-1,-1,0.0266,4.7,0.124,1192,F,1,90,14,MERRA2_MSWEP2,1974,2017,2
iquitos,iqt,Iquitos PER,-73.25,-3.75,125,84378,2,8,0.402,0.28,0.1146,4.6,0.159,1150,F,1,90,14,MERRA2_MSWEP2,1974,2017,-1
